,Ring Price,Ring Gross Weight,Ring Size,Diamond Weight/Carats,Diamond Count
135,2500000.0,4.2,6.0,2.48,25.0
136,2500000.0,4.87,4.0,2.11,50.0
137,2500000.0,5.7,6.0,3.03,25.0
138,2500000.0,12.0,6.0,26.0,25.0
139,2500000.0,39.0,6.0,,75.0
140,2500000.0,6.9,6.0,5.63,25.0
141,2500000.0,12.3,6.0,4.79,25.0
142,2500000.0,6.4,,2.56,25.0
143,2500000.0,7.3,7.0,5.06,25.0
144,2500000.0,7.51,,2.47,25.0
145,2500000.0,,6.0,,25.0
146,2500000.0,4.47,3.0,2.02,25.0
147,2500000.0,19.7,8.0,21.35,50.0
148,2437500.0,10.5,,3.2,75.0
149,2400000.0,19.9,4.0,47.0,50.0
150,2390000.0,4.3,6.0,3.79,25.0
151,2390000.0,9.0,5.0,4.0,25.0
152,2390000.0,17.2,7.0,5.0,25.0
153,2390000.0,23.4,9.0,4.85,25.0
154,2390000.0,10.0,,15.07,
155,2390000.0,28.0,,9.164,
156,2375000.0,8.4,6.0,5.02,25.0
157,2375000.0,7.3,6.0,5.03,25.0
158,2375000.0,6.8,5.0,3.0,25.0
159,2375000.0,37.2,11.0,4.5,
160,2375000.0,12.3,4.0,14.0,25.0
161,2375000.0,10.9,6.0,22.28,25.0
162,2375000.0,5.0,8.0,5.37,25.0
163,2375000.0,14.5,6.0,,25.0
164,2375000.0,6.71,6.0,5.37,25.0
165,2375000.0,6.5,5.0,5.36,25.0
166,2375000.0,21.42,6.0,8.83,100.0
167,2312500.0,6.2,,3.25,25.0
168,2312500.0,9.57,6.0,5.26,25.0
169,2312500.0,9.77,,4.02,100.0
170,2270500.0,6.9,6.0,5.76,25.0
171,2270500.0,3.65,5.0,1.8,25.0
172,2270500.0,7.2,6.0,3.38,25.0
173,2270500.0,8.8,5.0,3.0,
174,2250000.0,5.8,5.0,3.93,25.0
175,2250000.0,10.4,7.0,3.32,50.0
176,2250000.0,18.9,5.0,5.72,50.0
177,2250000.0,5.7,7.0,3.08,25.0
178,2250000.0,5.4,5.0,2.08,25.0
179,2250000.0,11.8,6.0,13.51,25.0
180,2250000.0,9.0,6.0,5.5,25.0
181,2250000.0,10.0,,7.7,25.0
182,2250000.0,5.0,6.0,3.43,25.0
183,2250000.0,7.09,6.0,2.6,25.0
184,2250000.0,38.32,12.0,2.9,100.0
185,2250000.0,7.88,5.0,4.41,25.0
186,2250000.0,14.37,6.0,17.53,25.0
187,2250000.0,,,,100.0
188,2250000.0,3.96,6.0,3.37,25.0
189,2250000.0,18.83,9.0,15.31,
190,2250000.0,5.3,6.0,3.7,25.0
191,2187500.0,6.3,6.0,2.28,25.0
192,2187500.0,13.45,6.0,4.06,75.0
193,2151000.0,9.41,8.0,3.75,50.0
194,2151000.0,8.55,6.0,3.01,50.0
195,2151000.0,4.5,,4.65,
196,2150000.0,4.7,7.0,2.74,25.0
197,2125000.0,9.2,7.0,4.55,50.0
198,2125000.0,12.0,7.0,2.77,25.0
199,2125000.0,14.4,6.0,,25.0
200,2125000.0,3.4,5.0,4.6,25.0
201,2125000.0,6.5,5.0,3.26,25.0
202,2125000.0,12.3,6.0,4.0,25.0
203,2125000.0,6.58,6.0,5.0,25.0
204,1000.0,9.9,4.0,,25.0
205,2125000.0,10.4,5.0,15.67,100.0
206,2062500.0,7.4,6.0,3.38,25.0
207,2062500.0,20.7,9.0,4.63,100.0
208,2062500.0,5.1,,3.58,25.0
209,2062500.0,2.85,5.0,1.98,25.0
210,2031500.0,8.4,7.0,3.0,25.0
211,2031500.0,14.8,6.0,3.7,75.0
212,2031500.0,7.2,4.0,3.73,25.0
213,2031500.0,6.0,,5.0,25.0
214,2031500.0,10.0,,8.0,
215,2000000.0,8.1,6.0,4.53,25.0
