,ID,URLs
40,41,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring-the-ring-features-a-radiant-cut-diamond-measuring-1174-x-903-x-603-mm-and-weighing-551-carats-/a/668-39625.s?ic4=GalleryView-ShortDescription-071515
41,42,https://jewelry.ha.com/itm/estate-jewelry/gentleman-s-diamond-platinum-topped-gold-ring/a/5150-58122.s?ic4=GalleryView-ShortDescription-071515
42,43,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-rings/a/5243-54430.s?ic4=GalleryView-ShortDescription-071515
43,44,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-gold-ring/a/5048-58508.s?ic4=GalleryView-ShortDescription-071515
44,45,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring-cartier/a/5150-58504.s?ic4=GalleryView-ShortDescription-071515
45,46,https://jewelry.ha.com/itm/estate-jewelry/fancy-deep-yellow-diamond-diamond-platinum-gold-ring-piranesi/a/5130-58433.s?ic4=GalleryView-ShortDescription-071515
46,47,https://jewelry.ha.com/itm/estate-jewelry/zambian-emerald-diamond-platinum-ring-tiffany-and-co/a/5502-55007.s?ic4=GalleryView-ShortDescription-071515
47,48,https://jewelry.ha.com/itm/estate-jewelry/diamond-gold-ring/a/5316-55338.s?ic4=GalleryView-ShortDescription-071515
48,49,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring/a/5256-54642.s?ic4=GalleryView-ShortDescription-071515
49,50,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring/a/5150-58496.s?ic4=GalleryView-ShortDescription-071515
50,51,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-gold-ring-moyer/a/5067-58453.s?ic4=GalleryView-ShortDescription-071515
51,52,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring/a/5041-59097.s?ic4=GalleryView-ShortDescription-071515
52,53,https://jewelry.ha.com/itm/estate-jewelry/natural-fancy-intense-yellow-diamond-diamond-platinum-gold-ring/a/686-46668.s?ic4=GalleryView-ShortDescription-071515
53,54,https://jewelry.ha.com/itm/estate-jewelry/pink-sapphire-diamond-platinum-gold-ring-tiffany-and-co/a/5256-54598.s?ic4=GalleryView-ShortDescription-071515
54,55,https://jewelry.ha.com/itm/estate-jewelry/fancy-light-yellow-diamond-gold-ring/a/5150-58461.s?ic4=GalleryView-ShortDescription-071515
55,56,https://jewelry.ha.com/itm/estate-jewelry/fancy-intense-yellow-diamond-diamond-gold-ring/a/5178-58402.s?ic4=GalleryView-ShortDescription-071515
56,57,https://jewelry.ha.com/itm/estate-jewelry/tiffany-and-co-sapphire-diamond-platinum-ring/a/5160-64666.s?ic4=GalleryView-ShortDescription-071515
57,58,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-eternity-ring/a/5353-55474.s?ic4=GalleryView-ShortDescription-071515
58,59,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring/a/5341-55345.s?ic4=GalleryView-ShortDescription-071515
59,60,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring/a/5150-58482.s?ic4=GalleryView-ShortDescription-071515
60,61,https://jewelry.ha.com/itm/estate-jewelry/diamond-multi-stone-synthetic-stone-glass-cultured-pearl-platinum-gold-base-metal-rings-10-lbs/a/5288-57904.s?ic4=GalleryView-ShortDescription-071515
61,62,https://jewelry.ha.com/itm/estate-jewelry/diamond-multi-stone-synthetic-stone-cultured-pearl-enamel-platinum-gold-base-metal-rings-11lbs/a/5288-57908.s?ic4=GalleryView-ShortDescription-071515
62,63,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring/a/5092-58427.s?ic4=GalleryView-ShortDescription-071515
63,64,https://jewelry.ha.com/itm/estate-jewelry/fancy-deep-brownish-yellow-diamond-diamond-platinum-ring-dant/a/5067-58454.s?ic4=GalleryView-ShortDescription-071515
64,65,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring-tiffany-and-co/a/5041-59243.s?ic4=GalleryView-ShortDescription-071515
65,66,https://jewelry.ha.com/itm/estate-jewelry/ceylon-color-change-sapphire-diamond-gold-ring-julius-cohen/a/5504-55308.s?ic4=GalleryView-ShortDescription-071515
66,67,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring/a/5504-55309.s?ic4=GalleryView-ShortDescription-071515
67,68,https://jewelry.ha.com/itm/estate-jewelry/ceylon-sapphire-platinum-ring-dubail-paris-french/a/5427-55420.s?ic4=GalleryView-ShortDescription-071515
68,69,https://jewelry.ha.com/itm/estate-jewelry/diamond-multi-stone-synthetic-stone-cultured-pearl-platinum-palladium-gold-rings-2lbs-5oz/a/5288-57910.s?ic4=GalleryView-ShortDescription-071515
69,70,https://jewelry.ha.com/itm/estate-jewelry/fancy-yellow-diamond-diamond-platinum-gold-ring/a/5208-54397.s?ic4=GalleryView-ShortDescription-071515
70,71,https://jewelry.ha.com/itm/estate-jewelry/colombian-emerald-diamond-gold-ring-kurt-wayne/a/5178-58440.s?ic4=GalleryView-ShortDescription-071515
71,72,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring/a/5150-58508.s?ic4=GalleryView-ShortDescription-071515
72,73,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring/a/5079-58707.s?ic4=GalleryView-ShortDescription-071515
73,74,https://jewelry.ha.com/itm/estate-jewelry/art-deco-diamond-platinum-ring/a/5130-58137.s?ic4=GalleryView-ShortDescription-071515
74,75,https://jewelry.ha.com/itm/estate-jewelry/ruby-diamond-platinum-ring/a/5092-58426.s?ic4=GalleryView-ShortDescription-071515
75,76,https://jewelry.ha.com/itm/estate-jewelry/diamond-white-gold-ring/a/5122-58593.s?ic4=GalleryView-ShortDescription-071515
76,77,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-white-gold-ring/a/5341-55206.s?ic4=GalleryView-ShortDescription-071515
77,78,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring/a/5341-55351.s?ic4=GalleryView-ShortDescription-071515
78,79,https://jewelry.ha.com/itm/estate-jewelry/fancy-yellow-diamond-diamond-platinum-gold-ring/a/5312-55388.s?ic4=GalleryView-ShortDescription-071515
79,80,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring/a/5307-55381.s?ic4=GalleryView-ShortDescription-071515
80,81,https://jewelry.ha.com/itm/estate-jewelry/gentleman-s-diamond-gold-ring/a/5243-54230.s?ic4=GalleryView-ShortDescription-071515
81,82,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring/a/5150-58486.s?ic4=GalleryView-ShortDescription-071515
82,83,https://jewelry.ha.com/itm/estate-jewelry/colored-diamond-diamond-gold-ring-bvlgari/a/5130-58358.s?ic4=GalleryView-ShortDescription-071515
83,84,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring/a/5130-58428.s?ic4=GalleryView-ShortDescription-071515
84,85,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring-set/a/5122-58581.s?ic4=GalleryView-ShortDescription-071515
85,86,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring/a/5502-55360.s?ic4=GalleryView-ShortDescription-071515
86,87,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring/a/5079-58285.s?ic4=GalleryView-ShortDescription-071515
87,88,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-gold-ring/a/5067-58439.s?ic4=GalleryView-ShortDescription-071515
88,89,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring/a/5048-58345.s?ic4=GalleryView-ShortDescription-071515
89,90,https://jewelry.ha.com/itm/estate-jewelry/diamond-fancy-yellow-diamond-platinum-gold-ring/a/5048-58507.s?ic4=GalleryView-ShortDescription-071515
90,91,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring/a/5316-55358.s?ic4=GalleryView-ShortDescription-071515
91,92,https://jewelry.ha.com/itm/estate-jewelry/pink-sapphire-diamond-platinum-ring-tiffany-and-co/a/5256-54606.s?ic4=GalleryView-ShortDescription-071515
92,93,https://jewelry.ha.com/itm/estate-jewelry/diamond-multi-stone-synthetic-stone-cultured-pearl-enamel-gold-mixed-metal-rings-10lbs/a/5288-57909.s?ic4=GalleryView-ShortDescription-071515
93,94,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring/a/5200-54422.s?ic4=GalleryView-ShortDescription-071515
94,95,https://jewelry.ha.com/itm/estate-jewelry/fancy-brownish-yellow-diamond-gold-ring/a/5190-54614.s?ic4=GalleryView-ShortDescription-071515
95,96,https://jewelry.ha.com/itm/estate-jewelry/diamond-white-gold-ring/a/5150-58501.s?ic4=GalleryView-ShortDescription-071515
96,97,https://jewelry.ha.com/itm/estate-jewelry/gentleman-s-diamond-gold-ring/a/5048-58078.s?ic4=GalleryView-ShortDescription-071515
97,98,https://jewelry.ha.com/itm/estate-jewelry/diamond-platinum-ring-set/a/5502-55247.s?ic4=GalleryView-ShortDescription-071515
98,99,https://jewelry.ha.com/itm/estate-jewelry/colombian-emerald-diamond-platinum-gold-ring/a/5200-54414.s?ic4=GalleryView-ShortDescription-071515
